Timestamp_EST,Location_ID,Location_Name,Current_Busyness_Pct,Source_Status,Google_Place_ID,Source_URL
2026-08-31 13:25:40,wiley-dining-court,Wiley Dining Court,100,matched_google_place_id,ChIJCaIHWLHiEogRZlqMXbheH1Y,https://www.google.com/maps/search/?api=1&query=Wiley%20Dining%20Court&query_place_id=ChIJCaIHWLHiEogRZlqMXbheH1Y
2026-08-31 13:25:40,earhart-dining-court,Earhart Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJkXgMmNv9EogRWox1kl6YMb4,https://www.google.com/maps/search/?api=1&query=Earhart%20Dining%20Court&query_place_id=ChIJkXgMmNv9EogRWox1kl6YMb4
2026-08-31 13:25:40,ford-dining-court,Ford Dining Court,92,matched_google_place_id,ChIJd0HbJkv9EogRJDldtOaaPy8,https://www.google.com/maps/search/?api=1&query=Ford%20Dining%20Court&query_place_id=ChIJd0HbJkv9EogRJDldtOaaPy8
2026-08-31 13:25:40,windsor-dining-court,Windsor Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJy8hmwbXiEogRxGe1llybuMY,https://www.google.com/maps/search/?api=1&query=Windsor%20Dining%20Court&query_place_id=ChIJy8hmwbXiEogRxGe1llybuMY
2026-08-31 13:25:40,hillenbrand-dining-court,Hillenbrand Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJiyNb78viEogRkKqxdDwgyPY,https://www.google.com/maps/search/?api=1&query=Hillenbrand%20Dining%20Court&query_place_id=ChIJiyNb78viEogRkKqxdDwgyPY
2026-08-31 13:25:40,bechtel-innovation-design-center,Bechtel Innovation Design Center (BIDC),,no_matching_result,,
2026-08-31 13:25:40,corec,France A. Córdova Recreational Sports Center (CoRec),92,matched_google_place_id,ChIJc3NYhLXiEogRzh1avYzXIBc,https://www.google.com/maps/search/?api=1&query=France%20A.%20C%C3%B3rdova%20Recreational%20Sports%20Center&query_place_id=ChIJc3NYhLXiEogRzh1avYzXIBc
2026-08-31 13:25:40,pmu-food-court,Purdue Memorial Union (PMU) Food Court,,matched_google_place_id:live_data_not_published_by_google,ChIJtwn2EK7iEogRHR4eOO1RvQU,https://www.google.com/maps/search/?api=1&query=Purdue%20Memorial%20Union&query_place_id=ChIJtwn2EK7iEogRHR4eOO1RvQU
2026-08-31 13:25:40,chick-fil-a-frieda-parker,Chick-fil-A (Frieda Parker Hall),,matched_google_place_id:live_data_not_published_by_google,ChIJ_-Ge5SLjEogR5cEpUISuVFo,https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ_-Ge5SLjEogR5cEpUISuVFo
2026-08-31 18:35:19,wiley-dining-court,Wiley Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJCaIHWLHiEogRZlqMXbheH1Y,https://www.google.com/maps/search/?api=1&query=Wiley%20Dining%20Court&query_place_id=ChIJCaIHWLHiEogRZlqMXbheH1Y
2026-08-31 18:35:19,earhart-dining-court,Earhart Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJkXgMmNv9EogRWox1kl6YMb4,https://www.google.com/maps/search/?api=1&query=Earhart%20Dining%20Court&query_place_id=ChIJkXgMmNv9EogRWox1kl6YMb4
2026-08-31 18:35:19,ford-dining-court,Ford Dining Court,87,matched_google_place_id,ChIJd0HbJkv9EogRJDldtOaaPy8,https://www.google.com/maps/search/?api=1&query=Ford%20Dining%20Court&query_place_id=ChIJd0HbJkv9EogRJDldtOaaPy8
2026-08-31 18:35:19,windsor-dining-court,Windsor Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJy8hmwbXiEogRxGe1llybuMY,https://www.google.com/maps/search/?api=1&query=Windsor%20Dining%20Court&query_place_id=ChIJy8hmwbXiEogRxGe1llybuMY
2026-08-31 18:35:19,hillenbrand-dining-court,Hillenbrand Dining Court,,matched_google_place_id:live_data_not_published_by_google,ChIJiyNb78viEogRkKqxdDwgyPY,https://www.google.com/maps/search/?api=1&query=Hillenbrand%20Dining%20Court&query_place_id=ChIJiyNb78viEogRkKqxdDwgyPY
2026-08-31 18:35:19,bechtel-innovation-design-center,Bechtel Innovation Design Center (BIDC),,no_matching_result,,
2026-08-31 18:35:19,corec,France A. Córdova Recreational Sports Center (CoRec),,matched_google_place_id:live_data_not_published_by_google,ChIJc3NYhLXiEogRzh1avYzXIBc,https://www.google.com/maps/search/?api=1&query=France%20A.%20C%C3%B3rdova%20Recreational%20Sports%20Center&query_place_id=ChIJc3NYhLXiEogRzh1avYzXIBc
2026-08-31 18:35:19,pmu-food-court,Purdue Memorial Union (PMU) Food Court,,matched_google_place_id:live_data_not_published_by_google,ChIJtwn2EK7iEogRHR4eOO1RvQU,https://www.google.com/maps/search/?api=1&query=Purdue%20Memorial%20Union&query_place_id=ChIJtwn2EK7iEogRHR4eOO1RvQU
2026-08-31 18:35:19,chick-fil-a-frieda-parker,Chick-fil-A (Frieda Parker Hall),,matched_google_place_id:live_data_not_published_by_google,ChIJ_-Ge5SLjEogR5cEpUISuVFo,https://www.google.com/maps/search/?api=1&query=Chick-fil-A&query_place_id=ChIJ_-Ge5SLjEogR5cEpUISuVFo
